Montths,Budget,Print,TV,SEO,AdWords,Facebook,LinkedIn,Instagram,Snapchat,Twitter,Email,Obj_Value
January,10.0,3.0,0.0,0.0,1.3333333333333333,0.0,0.0,2.666666666666667,0.0,0.0,3.0,10.373
February,10.186499999999999,3.0,0.0,0.0,2.3333333333333335,3.0,0.0,0.0,0.0,1.6666666666666665,0.0,10.399333333333333
March,10.292916666666667,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,10.4
April,10.346458333333334,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,10.392999999999999
May,10.369729166666666,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,10.404
June,10.386864583333333,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,10.416
July,10.401432291666666,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,10.42
August,10.410716145833334,2.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.0,3.0,10.429
September,10.419858072916668,0.5,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.5,10.3945
October,10.407179036458334,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,10.365
November,10.386089518229166,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,10.434000000000001
December,10.410044759114584,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,10.424000000000001
