Montths,Budget,Print,TV,SEO,AdWords,Facebook,LinkedIn,Instagram,Snapchat,Twitter,Email,Obj_Value
January,10.0,3.0,0.0,0.0,1.3333333333333333,0.0,0.0,2.666666666666667,0.0,0.0,3.0,10.373
February,10.186499999999999,3.0,0.0,0.0,2.3333333333333335,3.0,0.0,0.0,0.0,1.6666666666666665,0.0,10.399333333333333
March,10.199666666666666,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,0.0,10.4
April,10.2,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,10.392999999999999
May,10.196499999999999,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,10.404
June,10.201999999999998,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,10.416
July,10.207999999999998,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,10.42
August,10.209999999999997,2.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.0,3.0,10.429
September,10.214499999999997,0.5,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.5,10.3945
October,10.197249999999997,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,10.365
November,10.182499999999997,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,10.434000000000001
December,10.216999999999999,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,10.424000000000001
